X,Murder,Assault,UrbanPop,Type
Alabama,14,236,58,Medium
Alaska,10,263,48,Small
Arizona,9,294,80,Extra Large
Arkansas,9,190,50,Medium
California,9,276,91,Extra Large
Colorado,8,204,78,Extra Large
Connecticut,4,110,77,Extra Large
Delaware,6,238,72,Extra Large
Florida,16,335,80,Extra Large
Georgia,18,183,60,Large
Hawaii,6,46,83,Extra Large
Idaho,3,120,54,Medium
Illinois,11,249,83,Extra Large
Indiana,8,113,65,Large
Iowa,3,56,57,Medium
Kansas,6,115,66,Large
Kentucky,10,109,52,Medium
Louisiana,16,249,66,Large
Maine,3,83,51,Medium
Maryland,12,300,67,Large
Massachusetts,5,149,85,Extra Large
Michigan,13,255,74,Extra Large
Minnesota,3,72,66,Large
Mississippi,17,259,44,Small
Missouri,9,178,70,Extra Large
Montana,6,109,53,Medium
Nebraska,5,102,62,Large
Nevada,13,252,81,Extra Large
New Hampshire,3,57,56,Medium
New Jersey,8,159,89,Extra Large
New Mexico,12,285,70,Extra Large
New York,12,254,60,Large
North Carolina,13,337,45,Small
North Dakota,1,45,44,Small
Ohio,8,120,75,Extra Large
Oklahoma,7,151,68,Large
Oregon,5,159,67,Large
Pennsylvania,7,106,72,Extra Large
Rhode Island,4,174,87,Extra Large
South Carolina,15,183,48,Small
South Dakota,4,86,45,Small
Tennessee,14,188,59,Medium
Texas,13,201,80,Extra Large
Utah,4,120,80,Extra Large
Vermont,3,48,32,Small
Virginia,9,156,63,Large
Washington,4,145,73,Extra Large
West Virginia,6,81,39,Small
Wisconsin,3,53,66,Large
Wyoming,7,161,60,Large
